"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENTREZID"
"MEIS1",15.4540483655372,-1.65542382070117,0.2133993745618,-7.75739771543594,8.66897437304872e-15,1.14690530955435e-12,"4211"
"RBL1",124.633724609154,-1.27942398933873,0.165195358908352,-7.74491485592243,9.56459165024504e-15,1.24757300384393e-12,"5933"
"RUNX1T1",21.3090473256441,-1.78059779468979,0.230051777830993,-7.73998710845828,9.94268951189053e-15,1.28651147017215e-12,"862"
"SH3D19",29.1243747399023,-1.29806571793376,0.168319466955467,-7.71191675813225,1.23941967667446e-14,1.56166879260982e-12,"152503"
"SHPK",233.882760098986,-1.39475442062577,0.180845453312026,-7.71241076334552,1.23463003118086e-14,1.56166879260982e-12,"23729"
"CYP4F22",5.03227552323029,-3.81238558924619,0.494768108271201,-7.70539880302162,1.30435304684326e-14,1.63238021173181e-12,"126410"
"HOXC4",71.035804457473,-1.41749401328662,0.184776540886357,-7.67139598180068,1.70134419617713e-14,2.10081981343952e-12,"3221"
"HPSE2",3.9929397529209,-3.82901215065463,0.500586677811703,-7.64904924636234,2.02470695174154e-14,2.45108641569653e-12,"60495"
"JAM2",8.15766702853217,-1.35059874118212,0.177051079313769,-7.62829995963251,2.37869584027126e-14,2.82777142342753e-12,"58494"
"ADH1B",38.8409788803181,-2.85480310721083,0.375484365509131,-7.60298795221451,2.89370438636157e-14,3.34982454026181e-12,"125"
"POLR2J2",785.166196929624,-1.43859447581337,0.189323726745428,-7.59859580488694,2.9936119344515e-14,3.4439552950255e-12,"246721"
"FLG2",13.9162615996701,-6.07691023410365,0.800909524420857,-7.587511508866,3.26107657526054e-14,3.7056233329433e-12,"388698"
"ADIRF",66.3751502704809,-2.48569924407245,0.327764411821149,-7.58379846750665,3.35582288953156e-14,3.76706373090324e-12,"10974"
"DNALI1",5.95877971186772,-1.95725717850978,0.258933929924894,-7.55890577599276,4.06474204493456e-14,4.53537061182397e-12,"7802"
"HAL",6.65168955299029,-3.82634373852247,0.507218752067949,-7.54377420574916,4.56561366966836e-14,4.97437037585867e-12,"3034"
"GFRA1",9.68442075219996,-2.41363839986503,0.319930689388262,-7.54425405227654,4.54883619932362e-14,4.97437037585867e-12,"2674"
"ABCC9",45.3343834945022,-2.83116181556287,0.375353949354285,-7.54264560272584,4.6053146424898e-14,4.98828291276001e-12,"10060"
"FXYD1",20.9743358577395,-2.49213589952095,0.330946314343731,-7.53033284103155,5.06111447882882e-14,5.45011409167834e-12,"5348"
"SLC7A2",9.14460381255053,-2.3834899528572,0.317018385388757,-7.5184596941731,5.5425326613686e-14,5.89993045711892e-12,"6542"
"FOSB",161.237265664262,-2.79505868388251,0.371800765753818,-7.51762487152384,5.57802744356808e-14,5.90378424627246e-12,"2354"
"ACE",358.627955261983,-1.22106690612904,0.162570058479831,-7.51101966467297,5.86685778311842e-14,6.17420112834769e-12,"1636"
"ZNF286A",136.302426542141,-1.61154699649793,0.214866891652314,-7.50021087057772,6.37152492848705e-14,6.6674228658439e-12,"57335"
"PCSK5",36.4133019049512,-3.4163081237339,0.456191881971302,-7.48875255949604,6.95312843799448e-14,7.19473994014155e-12,"5125"
"PAMR1",5.10922630927076,-2.22604167566602,0.297343135317991,-7.4864404496354,7.07666312389063e-14,7.28188635448346e-12,"25891"
"FHL1",83.2839254549289,-2.97261099888527,0.397245650697304,-7.48305486458394,7.26145481736589e-14,7.38992671028851e-12,"2273"
"LDB2",18.0788059971655,-1.89213637321704,0.252967217675063,-7.47976908078063,7.44533187140445e-14,7.53565229082804e-12,"9079"
"CADM3",6.09416828945957,-2.33119642508092,0.312068119036226,-7.47015245351066,8.01019630535486e-14,8.01972194420447e-12,"57863"
"SORBS1",40.6858267844647,-2.0438090818292,0.273806409265887,-7.46443111871976,8.36602643736428e-14,8.2863926028268e-12,"10580"
"MYOCD",4.00206838199526,-5.24450304786497,0.703022414628818,-7.45993717801155,8.65637432381822e-14,8.52837049073198e-12,"93649"
"EGFLAM",7.12412799373371,-2.01102258859794,0.270876540287806,-7.42412977683938,1.13523809617593e-13,1.08385979470982e-11,"133584"
"TMBIM4",320.829254076459,-1.43132182730062,0.193820266710344,-7.3847892771692,1.5269502619988e-13,1.44296799758887e-11,"51643"
"HSPB7",13.1870499438902,-2.85124680487994,0.386679772078361,-7.37366423269261,1.66000965186883e-13,1.56074613055404e-11,"27129"
"GPC3",5.60307890003802,-1.9666827979314,0.266925782862756,-7.36790120773984,1.73335156159794e-13,1.62147159716753e-11,"2719"
"TBC1D8B",476.709743585739,-2.9443908491981,0.400558188303272,-7.35071940900839,1.97142880103853e-13,1.82574021264178e-11,"54885"
"SEMA6D",6.28580185508037,-2.35808526755385,0.320829075813003,-7.3499736941806,1.98245866886874e-13,1.82682086889487e-11,"80031"
"RFX2",29.6772860066667,-1.67570838171271,0.228238722631766,-7.34191097106802,2.10565450918341e-13,1.92122821768942e-11,"5990"
"ZBTB16",41.2893252421211,-2.22991190733563,0.304132035784868,-7.33205202004105,2.26655077628648e-13,2.05789477835187e-11,"7704"
"MFAP4",81.8698392412007,-2.4648820285371,0.336572164025152,-7.32348747757079,2.4160814986367e-13,2.18295909842678e-11,"4239"
"ATP1A2",4.37259333040804,-2.53601277396858,0.347068006708301,-7.30696210814965,2.73249571117768e-13,2.4568585224482e-11,"477"
"SPP2",122.225450590873,-3.46796543875012,0.475330454063686,-7.29590416330756,2.96660021252926e-13,2.654462277124e-11,"6694"
"GPD1",21.8986992069231,-2.96174582774769,0.406054017087766,-7.29397002149971,3.00952429889515e-13,2.67992351269884e-11,"2819"
"ACACB",54.7850531221297,-1.27963899383189,0.175832862232008,-7.27758723590265,3.39843246523725e-13,2.98321166450826e-11,"32"
"SCARA5",7.67754281791294,-2.38169027790597,0.327476313140279,-7.27286274560487,3.51947881159116e-13,3.07489559190054e-11,"286133"
"THSD4",16.9014485858524,-2.20058284757804,0.302851583037559,-7.2662088324139,3.69716878977095e-13,3.19995141701578e-11,"79875"
"ZNF747",141.779866364974,-1.3767148026523,0.189585119544247,-7.2617239473322,3.82187582341326e-13,3.29250158145397e-11,"65988"
"TMEM182",539.741320160036,-2.82785431552622,0.389535481741249,-7.25955515755722,3.88365404750145e-13,3.320972948097e-11,"130827"
"FGF7",14.064557647101,-2.39455846206886,0.329944506804878,-7.25745818670335,3.94431854391374e-13,3.35122330598029e-11,"2252"
"NRXN1",3.62618065171866,-4.06944916903213,0.561825079616857,-7.24326719591681,4.3800278334371e-13,3.67089934529059e-11,"9378"
"MAMDC2",7.07512719925592,-2.16008453015409,0.298975262353725,-7.22496073136126,5.01246657177565e-13,4.18202278569498e-11,"256691"
"ITGA7",38.7240394006854,-1.79895177869607,0.249254552116531,-7.21732768136175,5.30191139722706e-13,4.36453346219732e-11,"3679"
"AQP1",995.908459673102,-1.99461626628318,0.276694359078543,-7.20873483986347,5.64741094325384e-13,4.58777831100648e-11,"358"
"MAB21L1",2.57634477359375,-2.92400784616118,0.405913318983783,-7.20352772232636,5.86743454441677e-13,4.74570404505185e-11,"4081"
"CREB5",22.8569080294085,-1.78418900817646,0.248344193769651,-7.18433952932021,6.75328483068419e-13,5.4149065642395e-11,"9586"
"LSP1",777.985670323687,-1.67836039130697,0.233743685235166,-7.18034538395507,6.95355284267116e-13,5.51292594501443e-11,"4046"
"FAM13C",9.64033659048449,-1.77674887155995,0.247513832160776,-7.17838213747116,7.05411645053676e-13,5.51292594501443e-11,"220965"
"IGSF10",4.34923328019214,-2.15921683069069,0.300785865761674,-7.17858475571298,7.043671997855e-13,5.51292594501443e-11,"285313"
"WDR72",62.0833761498977,-2.5380273867284,0.354152999579446,-7.16647152429117,7.69553971034846e-13,5.96388228096545e-11,"256764"
"SYNE1",49.7872987474203,-0.99832755601763,0.139356747975309,-7.16382644200704,7.84557217923233e-13,6.04085040921076e-11,"23345"
"TMEM212",149.855833058246,-2.7895748777593,0.389411093129169,-7.16357321858314,7.86008502656189e-13,6.04085040921076e-11,"389177"
"GNAO1",5.23068946547808,-2.07816695019141,0.290367224093335,-7.15703005626904,8.24436267844036e-13,6.31000353430051e-11,"2775"
"SLIT2",10.1996371781036,-1.7733728010693,0.247929656893816,-7.15272558872941,8.50715622344259e-13,6.48434352142402e-11,"9353"
"FLRT2",9.37765154153413,-1.73661914935942,0.242980172822738,-7.14716402241734,8.85890030489499e-13,6.72477669865840e-11,"23768"
"MOSPD2",34.6233370892631,-2.95628546395523,0.413995477143863,-7.14086415714133,9.27459753819431e-13,7.0115957388749e-11,"158747"
"HLF",7.65723610541608,-2.27848510850582,0.319864524985306,-7.12328167248459,1.05387134572897e-12,7.87088913935161e-11,"3131"
"LEPR",6.04627806982682,-1.5958767280603,0.224309687272109,-7.1146134947099,1.12226886349617e-12,8.34805778701851e-11,"3953"
"DLG2",8.14831576410651,-2.43499560317924,0.342527189626196,-7.10891186722015,1.1696140122392e-12,8.66543629387775e-11,"1740"
"TFPI",41.1654506934737,-1.71990057926528,0.242221493950259,-7.10052832726097,1.24280857041183e-12,9.13464299252693e-11,"7035"
"DCLK1",10.7890984207212,-1.55229093051678,0.218901788475922,-7.09126655074142,1.32890102699838e-12,9.72881613520314e-11,"9201"
"CLSTN2",5.53192251883387,-1.93035180170415,0.272257575533359,-7.09016745602964,1.33949817898232e-12,9.7677894768152e-11,"64084"
"NLGN1",2.4785744785633,-3.37705459482447,0.476697239075453,-7.08427554851002,1.39773550327076e-12,1.00734852107319e-10,"22871"
"NR4A3",15.4052452641028,-2.45624567740467,0.347490206183697,-7.06853210161037,1.56581132307327e-12,1.12410687309935e-10,"8013"
"PAGR1",300.464549321557,-1.19742274281056,0.169477742091594,-7.06536875009469,1.60190032201746e-12,1.14557520325898e-10,"79447"
"PMEL",9.91225293908855,-2.75969407045315,0.39101206953347,-7.05782323738967,1.6913100721354e-12,1.2048632752343e-10,"6490"
"SLC9A4",10.6073315631287,-3.65468790964736,0.518431220272861,-7.04951354535289,1.7954435681954e-12,1.26445649316027e-10,"389015"
"GALT",404.367538064326,-1.89964588621367,0.269928001534817,-7.03760215839867,1.95576140845438e-12,1.36182754915008e-10,"2592"
"EGR3",36.8711575065324,-2.39109882373442,0.340059893858584,-7.03140495811825,2.04464120126511e-12,1.41838368276525e-10,"1960"
"PPP1R14A",14.3804696884949,-1.93190998411575,0.275165552167909,-7.02090057747084,2.204426836822e-12,1.51785850823855e-10,"94274"
"GALNT16",19.2120081864032,-1.79465551110886,0.25594889803331,-7.01177275971431,2.35317187833753e-12,1.61427590853955e-10,"57452"
"ALG9",256.357442428318,-1.67562712476736,0.239008488304621,-7.01074316085268,2.37055556240841e-12,1.6202003736874e-10,"79796"
"SULT1B1",148.278410254134,-2.78562318146436,0.397509039379095,-7.00769770120316,2.42271549782288e-12,1.64976236951013e-10,"27284"
"CDH8",368.740609378564,-2.35303676020811,0.335850612749966,-7.00620058704462,2.44876778233717e-12,1.66139475693953e-10,"1006"
"SYBU",8.84174322802318,-1.8765963758521,0.268539921589255,-6.98814673343967,2.78540995230223e-12,1.8828964648373e-10,"55638"
"ADAMTS8",3.43153333694244,-2.39452081617128,0.343228679836551,-6.97645901068517,3.02712602861208e-12,2.03146479354902e-10,"11095"
"CRIP1",1335.86751196752,-1.59976571601617,0.229647737911443,-6.96617232360058,3.25680190822283e-12,2.1698735591404e-10,"1396"
"BEGAIN",6.40783208161742,-1.96835427985115,0.282779546610822,-6.96073780244127,3.38495254333059e-12,2.2471717207014e-10,"57596"
"KBTBD4",113.993351345263,-1.74486596041873,0.250794405259652,-6.95735600087349,3.46718039311967e-12,2.28011086074933e-10,"55709"
"LAMA2",11.3942646189677,-1.87761886137001,0.270182612120729,-6.94944373596852,3.66729344808922e-12,2.39174680441931e-10,"3908"
"PREX2",5.37171204533827,-1.73000040384063,0.249105470778995,-6.94485110435601,3.78859697078257e-12,2.46218923132754e-10,"80243"
"CDHR1",6.94519871272512,-5.64684555117227,0.815181900778205,-6.92709878099792,4.29558654958695e-12,2.7625990997031e-10,"92211"
"KIAA1328",732.728570623972,-2.69703576018043,0.389408885619625,-6.9259738536498,4.32986435309922e-12,2.76755422248726e-10,"57536"
"CHRDL1",13.3267896076072,-2.2815749855805,0.329587173836225,-6.92252358920446,4.43667885997404e-12,2.81425225494655e-10,"91851"
"ADAM33",30.6852892641281,-2.46737307744068,0.35711193141501,-6.90924290225767,4.87247049321018e-12,3.08013305376242e-10,"80332"
"CIDEA",12.4806070593173,-4.09075878169941,0.5926949291685,-6.90196352352532,5.12886069097621e-12,3.2202290751953e-10,"1149"
"FSIP2",147.015916720954,-3.19058418735142,0.462255827055128,-6.90220436522677,5.1201701682801e-12,3.2202290751953e-10,"401024"
"DUX4L4",75.2693366793144,-6.30624155867963,0.916735197430589,-6.87902196441749,6.02648691293357e-12,3.76857427113093e-10,"441056"
"C1QTNF7",4.3470196860653,-3.23725380286297,0.470880735998634,-6.87489114626332,6.20372118563188e-12,3.85579850473638e-10,"114905"
"BTNL9",36.8399185422819,-2.26285243386502,0.329170100645178,-6.87441669042782,6.22440207815667e-12,3.85579850473638e-10,"153579"
"SNURF",310.579898362973,-1.62019415484624,0.235873859886418,-6.86890084228251,6.4698455550092e-12,3.99448264566268e-10,"8926"
"ALDH1A2",6.4383808034672,-1.91998987923581,0.279753622840025,-6.8631457199528,6.73604501868965e-12,4.14501746964019e-10,"8854"
"LCN10",3.43035153414782,-2.74189788091956,0.399617161283997,-6.86131164164636,6.82311281294226e-12,4.18469190467936e-10,"414332"
"REL",67.9795664539027,-2.55250577864678,0.372229465994644,-6.85734476131858,7.01521899358826e-12,4.26019299013908e-10,"5966"
"TBX18",9.61170267745983,-1.30468369551795,0.190585789778433,-6.84565043928365,7.61291679975827e-12,4.57813133003645e-10,"9096"
"TIMP4",4.33143914124577,-3.15329215286412,0.460612398743179,-6.84586902451638,7.60130017266662e-12,4.57813133003645e-10,"7079"
"BLOC1S6",820.023300237593,-2.68974443082921,0.393110999060378,-6.8422008981135,7.79856146400074e-12,4.67459402706219e-10,"26258"
"PLIN4",42.832144504438,-2.81820830414281,0.413005998669975,-6.8236498094905,8.87560902818414e-12,5.21885810857228e-10,"729359"
"GRIK3",3.1464395164573,-2.80698981250143,0.412044199729121,-6.81235123403449,9.60163281856609e-12,5.62789376789497e-10,"2899"
"KCNJ15",17.8694923490962,-2.28709067473335,0.335860336765942,-6.80964801249275,9.78378270037782e-12,5.7165685544605e-10,"3772"
"IGF1",20.0133701117865,-1.86166086774419,0.27343525436182,-6.80841565982112,9.8679410757261e-12,5.74761020769179e-10,"3479"
"THRB",9.1492361729785,-1.5537492232154,0.228368219208297,-6.80370162101325,1.01964617122898e-11,5.90183949484473e-10,"7068"
"ADAMTS5",4.67757143596753,-1.64477204836422,0.241899108081716,-6.79941344723188,1.05045951556386e-11,6.02371862144697e-10,"11096"
"PM20D1",24.595522717064,-6.96355702400482,1.02446007379,-6.79729469421203,1.06601902218443e-11,6.09407541015433e-10,"148811"
"SPTBN4",3.3235770463638,-2.1876649092611,0.322136571749692,-6.79111004807294,1.11274001113485e-11,6.34159091884297e-10,"57731"
