"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DEFB130",13.3457492737454,-4.63277482110418,0.268700105414329,-17.241432838147,1.29779946242614e-66,2.44881780565188e-62
"LCN6",35.0170222726255,-3.52499421444474,0.209522415076603,-16.8239479921801,1.62930054220026e-63,1.53716359653884e-59
"CCDC177",12.2021666497956,-4.31431802088473,0.267465749465809,-16.1303569877691,1.56115451185415e-58,9.8191414947253e-55
"SOX7",85.1342441313711,-2.77641017129565,0.195928568340411,-14.1705224246412,1.39459152486429e-45,6.57863687066607e-42
"MDGA2",17.2632386037276,-2.8589335235752,0.202134077915827,-14.1437483132642,2.04116162576657e-45,7.70293574331789e-42
"KLK9",15.0898468129222,-3.97959865274912,0.294408823670469,-13.5172533320655,1.23708983141675e-41,3.8904413381671e-38
"UGT2A1",10.7485417734869,-2.65828164206073,0.203334328961724,-13.0734522578386,4.66971961050992e-39,1.25875627615302e-35
"LIMS3",81.1046586134976,-3.19454368887418,0.249040723013988,-12.8273948541931,1.15172039460058e-37,2.7164765157148e-34
"RNASE11",7.74051024783418,-6.39875764749937,0.507310908208255,-12.6130890228614,1.78843270761568e-36,3.74954852888891e-33
"OC90",26.3780471781188,-2.80077528235726,0.227803403875675,-12.2947033920784,9.67110993547125e-35,1.82484173372407e-31
"ZNF788",620.249476797788,-1.43640252820031,0.117784834845608,-12.1951398079654,3.29937255423729e-34,5.65962370235485e-31
"TMEM236",81.0403636077002,-1.35415592890587,0.114618183075843,-11.8144948084704,3.28517672524518e-32,5.16566663572095e-29
"CDRT1",45.8842673673916,-2.47080257996874,0.211555885441769,-11.6791956641113,1.62828986256714e-31,2.36340010898303e-28
"KRT222",10.7911626768101,-2.35966066465337,0.203567194730527,-11.5915566247154,4.54791218666918e-31,6.12961107501862e-28
"MUC3A",68.7742018638021,-2.57429896161331,0.223934203167217,-11.495782802286,1.385195317012e-30,1.74248336244662e-27
"SOGA3",29.8604016328444,-1.87743756320764,0.168570669093351,-11.1373916548196,8.25002633003357e-29,9.72935917633771e-26
"GOLGA7B",54.0982929200008,-2.61521641314376,0.237081075132219,-11.030894860272,2.71153453987161e-28,3.00964383722573e-25
"FAM47E-STBD1",54.2010126369531,-2.20817270619837,0.20717354658738,-10.6585649691864,1.59032282359115e-26,1.66710007546342e-23
"TMEM239",7.30615868452041,-2.36157539432833,0.222280215686455,-10.6243166403057,2.2968818939829e-26,2.2810454977665e-23
"SYNPO2",38.816827108752,-3.22382508796967,0.308338514013461,-10.4554732589421,1.38306556089594e-25,1.30485320342727e-22
"ZNF709",50.3180301199635,-1.6981453047803,0.163530110212868,-10.3842974395958,2.92313517280953e-25,2.62650655122586e-22
"HIST2H3C",39.5868141653555,3.2177497336806,0.311698321196704,10.3232822086647,5.52997621479258e-25,4.53674439986614e-22
